Sun Nov 27 18:49:48 2022    profiler_result

         274689913 function calls (269353762 primitive calls) in 145.197 seconds

   Ordered by: internal time
   List reduced from 15008 to 1588 due to restriction <'wger/wger((?!tests).)*$'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.000    0.000    0.008    0.000 /Users/adampetik/School/wger/wger/manager/models/workout.py:117(save)
       12    0.000    0.000    0.018    0.001 /Users/adampetik/School/wger/wger/nutrition/views/ingredient.py:81(get_queryset)
       14    0.000    0.000    0.167    0.012 /Users/adampetik/School/wger/wger/gym/views/gym.py:353(dispatch)
        9    0.000    0.000    0.019    0.002 /Users/adampetik/School/wger/wger/gym/managers.py:31(get_members)
       75    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/utils/helpers.py:94(next_weekday)
       10    0.000    0.000    0.026    0.003 /Users/adampetik/School/wger/wger/gym/views/admin_notes.py:65(dispatch)
        5    0.000    0.000    0.173    0.035 /Users/adampetik/School/wger/wger/core/views/user.py:305(preferences)
      100    0.000    0.000    0.037    0.000 /Users/adampetik/School/wger/wger/gym/helpers.py:55(is_any_gym_admin)
        3    0.000    0.000    0.019    0.006 /Users/adampetik/School/wger/wger/exercises/api/views.py:139(perform_create)
        8    0.000    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/core/forms.py:248(__init__)
       10    0.000    0.000    0.025    0.003 /Users/adampetik/School/wger/wger/gym/views/document.py:65(dispatch)
       13    0.000    0.000    0.027    0.002 /Users/adampetik/School/wger/wger/gym/views/contract_type.py:179(dispatch)
       20    0.000    0.000    0.026    0.001 /Users/adampetik/School/wger/wger/gym/views/admin_notes.py:104(dispatch)
       26    0.000    0.000    0.029    0.001 /Users/adampetik/School/wger/wger/gym/views/contract.py:100(dispatch)
        5    0.000    0.000    0.003    0.001 /Users/adampetik/School/wger/wger/core/forms.py:110(__init__)
        6    0.000    0.000    0.001    0.000 /Users/adampetik/School/wger/wger/gym/forms.py:49(__init__)
       13    0.000    0.000    0.026    0.002 /Users/adampetik/School/wger/wger/gym/views/contract_option.py:179(dispatch)
        9    0.000    0.000    0.030    0.003 /Users/adampetik/School/wger/wger/manager/views/ical.py:116(export)
        9    0.000    0.000    0.004    0.000 /Users/adampetik/School/wger/wger/core/models/profile.py:451(calculate_basal_metabolic_rate)
       78    0.000    0.000    0.004    0.000 /Users/adampetik/School/wger/wger/gym/models/gym.py:102(get_absolute_url)
       18    0.000    0.000    0.029    0.002 /Users/adampetik/School/wger/wger/gym/views/document.py:104(dispatch)
       13    0.000    0.000    0.003    0.000 /Users/adampetik/School/wger/wger/utils/pdf.py:115(get_logo)
       82    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/utils/helpers.py:69(default)
        3    0.000    0.000    0.138    0.046 /Users/adampetik/School/wger/wger/gym/views/gym.py:388(form_valid)
       88    0.000    0.000    0.002    0.000 /Users/adampetik/School/wger/wger/exercises/models/muscle.py:63(image_url_secondary)
       50    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/nutrition/models/plan.py:87(__str__)
        6    0.000    0.000    0.161    0.027 /Users/adampetik/School/wger/wger/manager/views/log.py:354(day)
       26    0.000    0.000    0.020    0.001 /Users/adampetik/School/wger/wger/gym/views/contract_type.py:70(dispatch)
       11    0.000    0.000    0.096    0.009 /Users/adampetik/School/wger/wger/gym/views/gym.py:112(dispatch)
      135    0.000    0.000    0.080    0.001 /Users/adampetik/School/wger/wger/utils/models.py:99(author_history)
       20    0.000    0.000    0.036    0.002 /Users/adampetik/School/wger/wger/manager/models/session.py:139(save)
      143    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/manager/models/workout.py:102(__str__)
       49    0.000    0.000    0.003    0.000 /Users/adampetik/School/wger/wger/nutrition/models/plan.py:96(get_absolute_url)
       19    0.000    0.000    0.007    0.000 /Users/adampetik/School/wger/wger/core/forms.py:153(clean_email)
        8    0.000    0.000    0.016    0.002 /Users/adampetik/School/wger/wger/exercises/api/views.py:111(perform_update)
        1    0.000    0.000    0.001    0.001 /Users/adampetik/School/wger/wger/exercises/migrations/0019_exercise_crowdsourcing_changes.py:12(Migration)
        6    0.000    0.000    0.012    0.002 /Users/adampetik/School/wger/wger/weight/management/commands/email-weight-reminder.py:41(handle)
       13    0.000    0.000    0.024    0.002 /Users/adampetik/School/wger/wger/mailer/views/gym.py:58(dispatch)
        6    0.000    0.000    0.003    0.001 /Users/adampetik/School/wger/wger/gym/views/gym.py:373(get_form)
        4    0.000    0.000    0.104    0.026 /Users/adampetik/School/wger/wger/manager/views/set.py:170(edit)
        3    0.000    0.000    0.005    0.002 /Users/adampetik/School/wger/wger/weight/management/commands/email-weight-reminder.py:63(send_email)
       27    0.000    0.000    0.010    0.000 /Users/adampetik/School/wger/wger/core/api/views.py:290(dispatch)
       26    0.000    0.000    0.019    0.001 /Users/adampetik/School/wger/wger/gym/views/contract_option.py:70(dispatch)
       47    0.000    0.000    0.001    0.000 /Users/adampetik/School/wger/wger/exercises/models/exercise.py:163(muscles_secondary)
       86    0.000    0.000    0.030    0.000 /Users/adampetik/School/wger/wger/manager/models/workout.py:156(<lambda>)
        4    0.000    0.000    0.006    0.002 /Users/adampetik/School/wger/wger/manager/views/day.py:65(get_form)
        1    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/gym/models/gym.py:26(Gym)
      245    0.000    0.000    0.000    0.000 /Users/adampetik/School/wger/wger/utils/generic_views.py:204(get_messages)
        1    0.000    0.000    0.074    0.074 /Users/adampetik/School/wger/wger/manager/urls.py:1(<module>)
